% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Ch 1 (V)
2.010562316000e+00, -2.6460203973e-04
2.010757630000e+00, 1.5876122384e-03
2.010952944000e+00, 1.0584081589e-03
2.011148258000e+00, 1.8522142781e-03
2.011343572000e+00, 2.3814183576e-03
2.011538886000e+00, 2.3814183576e-03
2.011734200000e+00, 3.1752244768e-03
2.011929514000e+00, 3.7044285563e-03
2.012124828000e+00, 3.1752244768e-03
2.012320142000e+00, 0.0000000000e+00
2.012515456000e+00, 3.1752244768e-03
2.012710770000e+00, 4.4982346755e-03
2.012906084000e+00, 4.2336326357e-03
2.013101398000e+00, 4.4982346755e-03
2.013296712000e+00, 3.4398265165e-03
2.013492026000e+00, 5.2920407947e-03
2.013687340000e+00, 5.0274387549e-03
2.013882654000e+00, 5.2920407947e-03
2.014077968000e+00, 5.8212448741e-03
2.014273282000e+00, 5.5566428344e-03
2.014468596000e+00, 6.3504489536e-03
2.014663910000e+00, 6.3504489536e-03
2.014859224000e+00, 6.0858469139e-03
2.015054538000e+00, 6.6150509933e-03
2.015249852000e+00, 7.6734591523e-03
2.015445166000e+00, 7.4088571125e-03
2.015640480000e+00, 8.2026632317e-03
2.015835794000e+00, 8.7318673112e-03
2.016031108000e+00, 6.6150509933e-03
2.016226422000e+00, 1.0054877510e-02
2.016421736000e+00, 1.0319479550e-02
2.016617050000e+00, 1.5611520344e-02
2.016812364000e+00, 1.0848683629e-02
2.017007678000e+00, 1.1642489748e-02
2.017202992000e+00, 1.2171693828e-02
2.017398306000e+00, 1.2965499947e-02
2.017593620000e+00, 1.1642489748e-02
2.017788934000e+00, 1.3759306066e-02
2.017984248000e+00, 1.4553112185e-02
2.018179562000e+00, 1.4817714225e-02
2.018374876000e+00, 1.5082316265e-02
2.018570190000e+00, 1.5346918305e-02
2.018765504000e+00, 1.5611520344e-02
2.018960818000e+00, 1.6405326463e-02
2.019156132000e+00, 1.7199132583e-02
2.019351446000e+00, 1.7992938702e-02
2.019546760000e+00, 1.8786744821e-02
2.019742074000e+00, 1.9845152980e-02
2.019937388000e+00, 2.0638959099e-02
2.020132702000e+00, 2.1961969298e-02
2.020328016000e+00, 2.1168163179e-02
2.020523330000e+00, 2.3814183576e-02
2.020718644000e+00, 2.5401795814e-02
2.020913958000e+00, 2.6195601934e-02
2.021109272000e+00, 2.7518612132e-02
2.021304586000e+00, 2.8312418251e-02
2.021499900000e+00, 2.9106224371e-02
2.021695214000e+00, 2.9370826410e-02
2.021890528000e+00, 3.0164632530e-02
2.022085842000e+00, 3.1752244768e-02
2.022281156000e+00, 3.1223040689e-02
2.022476470000e+00, 3.2281448847e-02
2.022671784000e+00, 3.2281448847e-02
2.022867098000e+00, 3.3075254967e-02
2.023062412000e+00, 3.3075254967e-02
2.023257726000e+00, 3.4662867205e-02
2.023453040000e+00, 3.5456673324e-02
2.023648354000e+00, 3.6250479443e-02
2.023843668000e+00, 3.7044285563e-02
2.024038982000e+00, 3.7308887602e-02
2.024234296000e+00, 3.7573489642e-02
2.024429610000e+00, 3.8896499841e-02
2.024624924000e+00, 3.9161101881e-02
2.024820238000e+00, 4.2865530437e-02
2.025015552000e+00, 3.9161101881e-02
2.025210866000e+00, 3.9690305960e-02
